Longitude,Latitude,1976-1977,1978-1979,1980-1981,1982-1983,1984-1985,1986-1987,1988-1989,1990-1991,1992-1993,1994-1995,1996-1997,1998-1999,2000-2001,2002-2003,2004-2005,2006-2007,2008-2009,2010-2011,2012-2013,2014-2015,2016-2017
179,83,-0.4741,-0.6486,0.782,-0.1853,0.4201,-0.4742,0.2522,0.933,-0.0456,0.8145,0.9467,1.1199,1.1845,1.8034,1.4024,2.1518,1.8902,2.4035,2.1664,1.8544,3.001
179,85,-0.4741,-0.6486,0.782,-0.1853,0.4201,-0.4742,0.2522,0.933,-0.0456,0.8145,0.9467,1.1199,1.1845,1.8034,1.4024,2.1518,1.8902,2.4035,2.1664,1.8544,3.001
179,87,-0.4741,-0.6486,0.782,-0.1853,0.4201,-0.4742,0.2522,0.933,-0.0456,0.8145,0.9467,1.1199,1.1845,1.8034,1.4024,2.1518,1.8902,2.4035,2.1664,1.8544,3.001
179,89,-0.4741,-0.6486,0.782,-0.1853,0.4201,-0.4742,0.2522,0.933,-0.0456,0.8145,0.9467,1.1199,1.1845,1.8034,1.4024,2.1518,1.8902,2.4035,2.1664,1.8544,3.001
179,27,0.1219,-0.1661,-0.3147,-0.2645,0.2455,-0.0537,0.4463,0.2305,-0.3534,0.036,-0.0664,0.7231,1.0768,0.5088,0.314,0.5063,0.6021,0.6335,0.7077,0.3595,0.8347
179,-41,-0.081,0.0108,-0.0208,-0.168,0.5095,0.5813,0.924,0.7384,-0.2001,0.4307,0.3789,1.2449,1.075,0.9017,0.7383,0.714,0.4581,0.5418,0.6138,0.5009,1.0002
179,25,0.1103,-0.0899,-0.1033,-0.2551,0.3181,-0.1451,0.4142,0.02,-0.2327,0.1002,0.1417,0.5059,1.0236,0.4417,0.3761,0.5692,0.5854,0.5274,0.6405,0.3973,0.775
179,29,0.1244,-0.1561,-0.404,-0.2769,0.1963,0.0043,0.5579,0.4426,-0.4423,0.0446,-0.2103,0.8547,0.9133,0.5709,0.2275,0.366,0.6483,0.6854,0.6469,0.3564,0.7619
179,67,-0.7675,0.7781,0.5327,0.4972,0.0941,-0.014,0.5629,0.9645,-0.1836,0.5318,1.9423,-0.478,0.8694,2.179,1.4249,1.8501,0.7413,1.5428,0.8456,2.4867,3.6506
179,-17,0.4022,0.5031,0.6385,0.5251,0.5908,0.3092,0.7384,0.6139,0.4135,0.6292,0.7412,0.8815,0.8693,0.6432,0.7279,0.8767,0.5376,0.8868,0.686,0.5901,1.036
179,65,-0.8216,0.8185,0.497,0.5458,0.1021,0.0294,0.4862,0.8949,-0.1881,0.5347,1.9633,-0.5084,0.8563,2.1283,1.4058,1.7599,0.6705,1.4675,0.8267,2.4717,3.6208
179,23,0.0092,-0.0561,0.0578,-0.309,0.3004,-0.1819,0.3497,-0.0744,-0.2578,0.1356,0.1939,0.2797,0.8524,0.2539,0.3759,0.5481,0.4882,0.3374,0.5374,0.3761,0.6783
179,69,-0.6811,0.7544,0.5584,0.4571,0.0868,-0.0238,0.655,1.0304,-0.1133,0.5275,1.9019,-0.3868,0.8309,2.1848,1.454,1.901,0.7999,1.5984,0.8594,2.4828,3.6305
179,-39,-0.2144,0.4742,0.4201,-0.0562,0.4349,0.3641,0.7392,0.5447,-0.2973,0.4216,0.3125,1.2475,0.8176,0.6156,0.5841,0.6177,0.5622,0.9364,0.7471,0.6014,1.2493
179,-43,0.0438,0.3527,0.2759,-0.1361,0.5189,0.7397,0.5526,0.4078,-0.2952,0.0745,0.2818,0.8356,0.8141,0.5687,0.3862,0.2828,0.0878,0.3084,0.5508,0.3364,0.77
179,63,-0.7994,0.973,0.503,0.6392,0.0939,0.1253,0.4694,0.8238,-0.048,0.5067,1.953,-0.445,0.7993,2.062,1.4795,1.612,0.5735,1.3643,0.7458,2.5065,3.5084
179,31,0.0119,-0.1298,-0.3157,-0.2006,0.1104,0.0241,0.7569,0.6232,-0.4188,0.1633,-0.2854,0.8959,0.7881,0.6577,0.2857,0.3463,0.7028,0.6849,0.5403,0.3301,0.7052
179,71,-0.554,0.7074,0.5982,0.4122,0.0923,-0.0162,0.7703,1.1225,-0.0235,0.5328,1.8732,-0.2593,0.7741,2.1738,1.4724,1.9704,0.8704,1.6654,0.8923,2.47,3.6193
179,33,-0.1965,-0.1342,-0.1641,-0.1531,-0.0699,-0.0619,0.868,0.6832,-0.3709,0.091,-0.5617,0.855,0.7646,0.6842,0.4314,0.3393,0.5467,0.6368,0.5039,0.2685,0.651
179,-57,0.4329,0.6443,0.6431,0.5832,0.6912,1.1588,0.7794,0.4332,0.6861,0.7102,0.7656,0.3863,0.7461,0.788,0.8041,0.5242,0.4588,0.5601,0.7992,0.6461,0.6765
