year,d20C3M
1900,-0.614
1901,-0.601
1902,-0.599
1903,-0.705
1904,-0.691
1905,-0.651
1906,-0.609
1907,-0.602
1908,-0.606
1909,-0.597
1910,-0.567
1911,-0.570
1912,-0.587
1913,-0.622
1914,-0.639
1915,-0.571
1916,-0.523
1917,-0.532
1918,-0.531
1919,-0.498
1920,-0.525
1921,-0.553
1922,-0.495
1923,-0.472
1924,-0.523
1925,-0.505
1926,-0.511
1927,-0.482
1928,-0.483
1929,-0.493
1930,-0.501
1931,-0.521
1932,-0.495
1933,-0.492
1934,-0.480
1935,-0.440
1936,-0.422
1937,-0.488
1938,-0.450
1939,-0.394
1940,-0.433
1941,-0.400
1942,-0.405
1943,-0.416
1944,-0.436
1945,-0.374
1946,-0.422
1947,-0.415
1948,-0.360
1949,-0.399
1950,-0.361
1951,-0.351
1952,-0.366
1953,-0.365
1954,-0.351
1955,-0.317
1956,-0.306
1957,-0.323
1958,-0.305
1959,-0.310
1960,-0.334
1961,-0.318
1962,-0.339
1963,-0.382
1964,-0.425
1965,-0.434
1966,-0.407
1967,-0.337
1968,-0.335
1969,-0.358
1970,-0.322
1971,-0.306
1972,-0.269
1973,-0.287
1974,-0.257
1975,-0.272
1976,-0.262
1977,-0.162
1978,-0.158
1979,-0.180
1980,-0.124
1981,-0.088
1982,-0.138
1983,-0.197
1984,-0.161
1985,-0.129
1986,-0.055
1987,-0.018
1988,-0.012
1989,0.040
1990,0.102
1991,0.022
1992,-0.134
1993,-0.021
1994,0.031
1995,0.064
1996,0.119
1997,0.137
1998,0.158
1999,0.194
