year,A1B
2000,0.240
2001,0.234
2002,0.272
2003,0.316
2004,0.324
2005,0.339
2006,0.362
2007,0.401
2008,0.435
2009,0.414
2010,0.408
2011,0.439
2012,0.516
2013,0.505
2014,0.519
2015,0.546
2016,0.562
2017,0.590
2018,0.605
2019,0.616
2020,0.684
2021,0.683
2022,0.720
2023,0.730
2024,0.752
2025,0.758
2026,0.801
2027,0.860
2028,0.898
2029,0.920
2030,0.944
2031,0.927
2032,1.018
2033,1.038
2034,1.033
2035,1.090
2036,1.092
2037,1.166
2038,1.209
2039,1.266
2040,1.266
2041,1.290
2042,1.308
2043,1.348
2044,1.374
2045,1.411
2046,1.461
2047,1.489
2048,1.532
2049,1.546
2050,1.565
2051,1.573
2052,1.600
2053,1.694
2054,1.709
2055,1.711
2056,1.734
2057,1.777
2058,1.801
2059,1.843
2060,1.848
2061,1.907
2062,1.937
2063,1.972
2064,2.009
2065,2.018
2066,2.058
2067,2.092
2068,2.133
2069,2.141
2070,2.163
2071,2.219
2072,2.242
2073,2.247
2074,2.255
2075,2.314
2076,2.346
2077,2.367
2078,2.359
2079,2.405
2080,2.435
2081,2.474
2082,2.449
2083,2.494
2084,2.529
2085,2.570
2086,2.539
2087,2.588
2088,2.604
2089,2.629
2090,2.673
2091,2.656
2092,2.697
2093,2.747
2094,2.739
2095,2.725
2096,2.751
2097,2.787
2098,2.808
2099,2.805
2100,2.786
2101,2.803
2102,2.813
2103,2.816
2104,2.824
2105,2.878
2106,2.846
2107,2.868
2108,2.920
2109,2.896
2110,2.862
2111,2.888
2112,2.901
2113,2.905
2114,2.950
2115,2.971
2116,2.923
2117,2.937
2118,2.963
2119,2.996
2120,3.016
2121,3.022
2122,2.990
2123,3.005
2124,3.000
2125,2.991
2126,3.000
2127,3.009
2128,2.996
2129,3.070
2130,3.038
2131,3.021
2132,3.101
2133,3.044
2134,3.038
2135,3.063
2136,3.072
2137,3.076
2138,3.041
2139,3.053
2140,3.084
2141,3.093
2142,3.143
2143,3.141
2144,3.160
2145,3.136
2146,3.193
2147,3.206
2148,3.134
2149,3.137
2150,3.200
2151,3.160
2152,3.072
2153,3.116
2154,3.208
2155,3.156
2156,3.174
2157,3.196
2158,3.159
2159,3.183
2160,3.215
2161,3.203
2162,3.220
2163,3.227
2164,3.233
2165,3.197
2166,3.218
2167,3.253
2168,3.260
2169,3.225
2170,3.230
2171,3.285
2172,3.245
2173,3.240
2174,3.240
2175,3.230
2176,3.202
2177,3.241
2178,3.250
2179,3.237
2180,3.276
2181,3.298
2182,3.280
2183,3.262
2184,3.242
2185,3.243
2186,3.262
2187,3.336
2188,3.335
2189,3.323
2190,3.301
2191,3.300
2192,3.322
2193,3.315
2194,3.336
2195,3.326
2196,3.348
2197,3.344
2198,3.321
2199,3.341
2200,3.229
2201,3.236
2202,3.203
2203,3.251
2204,3.305
2205,3.292
2206,3.239
2207,3.303
2208,3.284
2209,3.294
2210,3.308
2211,3.327
2212,3.302
2213,3.333
2214,3.355
2215,3.330
2216,3.305
2217,3.387
2218,3.349
2219,3.219
2220,3.310
2221,3.395
2222,3.309
2223,3.347
2224,3.377
2225,3.325
2226,3.337
2227,3.374
2228,3.410
2229,3.374
2230,3.333
2231,3.405
2232,3.426
2233,3.401
2234,3.395
2235,3.355
2236,3.404
2237,3.356
2238,3.374
2239,3.407
2240,3.408
2241,3.410
2242,3.457
2243,3.421
2244,3.424
2245,3.446
2246,3.429
2247,3.438
2248,3.466
2249,3.470
2250,3.442
2251,3.430
2252,3.448
2253,3.413
2254,3.453
2255,3.499
2256,3.435
2257,3.391
2258,3.407
2259,3.457
2260,3.486
2261,3.482
2262,3.473
2263,3.413
2264,3.488
2265,3.486
2266,3.463
2267,3.460
2268,3.478
2269,3.465
2270,3.519
2271,3.509
2272,3.468
2273,3.450
2274,3.465
2275,3.479
2276,3.491
2277,3.533
2278,3.512
2279,3.456
2280,3.484
2281,3.439
2282,3.466
2283,3.478
2284,3.509
2285,3.541
2286,3.522
2287,3.512
2288,3.566
2289,3.489
2290,3.539
2291,3.613
2292,3.566
2293,3.533
2294,3.555
2295,3.542
2296,3.458
2297,3.544
2298,3.578
2299,3.551
