year,A2
2000,0.256
2001,0.266
2002,0.262
2003,0.257
2004,0.305
2005,0.349
2006,0.372
2007,0.373
2008,0.387
2009,0.376
2010,0.423
2011,0.456
2012,0.461
2013,0.460
2014,0.492
2015,0.526
2016,0.579
2017,0.555
2018,0.553
2019,0.606
2020,0.615
2021,0.625
2022,0.658
2023,0.700
2024,0.705
2025,0.748
2026,0.725
2027,0.718
2028,0.763
2029,0.777
2030,0.809
2031,0.834
2032,0.893
2033,0.939
2034,0.953
2035,0.954
2036,1.022
2037,1.018
2038,1.045
2039,1.065
2040,1.097
2041,1.164
2042,1.186
2043,1.202
2044,1.231
2045,1.272
2046,1.286
2047,1.305
2048,1.368
2049,1.420
2050,1.398
2051,1.438
2052,1.516
2053,1.577
2054,1.604
2055,1.608
2056,1.648
2057,1.702
2058,1.707
2059,1.768
2060,1.827
2061,1.854
2062,1.893
2063,1.947
2064,1.940
2065,1.986
2066,2.066
2067,2.097
2068,2.137
2069,2.183
2070,2.249
2071,2.256
2072,2.364
2073,2.364
2074,2.392
2075,2.484
2076,2.537
2077,2.529
2078,2.591
2079,2.665
2080,2.676
2081,2.747
2082,2.815
2083,2.854
2084,2.921
2085,2.944
2086,2.938
2087,2.985
2088,3.047
2089,3.092
2090,3.137
2091,3.149
2092,3.234
2093,3.249
2094,3.311
2095,3.351
2096,3.418
2097,3.443
2098,3.510
2099,3.565
