year,B1
2000,0.235
2001,0.229
2002,0.254
2003,0.292
2004,0.333
2005,0.320
2006,0.323
2007,0.363
2008,0.371
2009,0.359
2010,0.413
2011,0.500
2012,0.489
2013,0.470
2014,0.538
2015,0.548
2016,0.576
2017,0.595
2018,0.627
2019,0.626
2020,0.657
2021,0.709
2022,0.691
2023,0.688
2024,0.737
2025,0.717
2026,0.717
2027,0.757
2028,0.759
2029,0.787
2030,0.822
2031,0.837
2032,0.853
2033,0.862
2034,0.881
2035,0.879
2036,0.878
2037,0.910
2038,0.952
2039,0.960
2040,0.980
2041,1.004
2042,1.015
2043,1.050
2044,1.067
2045,1.055
2046,1.085
2047,1.114
2048,1.132
2049,1.136
2050,1.138
2051,1.169
2052,1.233
2053,1.242
2054,1.231
2055,1.245
2056,1.273
2057,1.290
2058,1.358
2059,1.386
2060,1.365
2061,1.388
2062,1.403
2063,1.437
2064,1.443
2065,1.490
2066,1.486
2067,1.473
2068,1.532
2069,1.532
2070,1.543
2071,1.597
2072,1.597
2073,1.547
2074,1.585
2075,1.629
2076,1.614
2077,1.660
2078,1.649
2079,1.648
2080,1.680
2081,1.696
2082,1.716
2083,1.714
2084,1.716
2085,1.722
2086,1.723
2087,1.763
2088,1.736
2089,1.758
2090,1.803
2091,1.798
2092,1.765
2093,1.774
2094,1.813
2095,1.832
2096,1.825
2097,1.827
2098,1.851
2099,1.837
2100,1.758
2101,1.782
2102,1.762
2103,1.825
2104,1.791
2105,1.766
2106,1.835
2107,1.826
2108,1.803
2109,1.882
2110,1.861
2111,1.864
2112,1.843
2113,1.814
2114,1.852
2115,1.871
2116,1.903
2117,1.891
2118,1.888
2119,1.867
2120,1.817
2121,1.856
2122,1.856
2123,1.872
2124,1.881
2125,1.853
2126,1.871
2127,1.888
2128,1.893
2129,1.864
2130,1.860
2131,1.891
2132,1.900
2133,1.879
2134,1.862
2135,1.868
2136,1.903
2137,1.946
2138,1.915
2139,1.917
2140,1.920
2141,1.914
2142,1.928
2143,1.971
2144,1.919
2145,1.909
2146,1.921
2147,1.939
2148,1.901
2149,1.896
2150,1.914
2151,1.939
2152,1.953
2153,1.993
2154,1.990
2155,1.942
2156,1.933
2157,1.953
2158,1.992
2159,1.975
2160,1.941
2161,1.946
2162,1.999
2163,2.001
2164,1.975
2165,2.014
2166,2.028
2167,2.056
2168,2.068
2169,2.011
2170,2.016
2171,1.980
2172,1.994
2173,2.003
2174,2.033
2175,2.087
2176,2.032
2177,2.065
2178,2.038
2179,2.019
2180,2.084
2181,2.128
2182,2.059
2183,2.071
2184,2.096
2185,2.079
2186,2.069
2187,2.048
2188,2.061
2189,2.120
2190,2.074
2191,2.086
2192,2.108
2193,2.062
2194,2.037
2195,2.065
2196,2.115
2197,2.071
2198,2.050
2199,2.085
2200,1.994
2201,2.022
2202,2.001
2203,2.036
2204,2.017
2205,1.951
2206,2.002
2207,2.032
2208,2.056
2209,2.029
2210,2.054
2211,2.063
2212,2.048
2213,2.022
2214,2.009
2215,2.070
2216,2.103
2217,2.071
2218,2.081
2219,2.085
2220,2.051
2221,2.093
2222,2.119
2223,2.062
2224,2.112
2225,2.115
2226,2.082
2227,2.101
2228,2.008
2229,2.112
2230,2.140
2231,2.077
2232,2.104
2233,2.145
2234,2.094
2235,2.072
2236,2.165
2237,2.128
2238,2.101
2239,2.090
2240,2.092
2241,2.113
2242,2.090
2243,2.073
2244,2.115
2245,2.146
2246,2.065
2247,2.149
2248,2.177
2249,2.081
2250,2.110
2251,2.130
2252,2.126
2253,2.108
2254,2.149
2255,2.178
2256,2.121
2257,2.108
2258,2.170
2259,2.123
2260,2.088
2261,2.096
2262,2.106
2263,2.110
2264,2.152
2265,2.171
2266,2.121
2267,2.122
2268,2.224
2269,2.178
2270,2.172
2271,2.178
2272,2.124
2273,2.186
2274,2.203
2275,2.162
2276,2.125
2277,2.183
2278,2.214
2279,2.153
2280,2.175
2281,2.163
2282,2.120
2283,2.121
2284,2.134
2285,2.165
2286,2.141
2287,2.120
2288,2.167
2289,2.168
2290,2.192
2291,2.175
2292,2.143
2293,2.163
2294,2.205
2295,2.228
2296,2.180
2297,2.173
2298,2.249
2299,2.229
