year,commit
2000,0.211
2001,0.241
2002,0.255
2003,0.236
2004,0.256
2005,0.265
2006,0.295
2007,0.309
2008,0.345
2009,0.346
2010,0.330
2011,0.344
2012,0.328
2013,0.297
2014,0.335
2015,0.349
2016,0.303
2017,0.306
2018,0.358
2019,0.388
2020,0.381
2021,0.352
2022,0.372
2023,0.355
2024,0.369
2025,0.394
2026,0.386
2027,0.403
2028,0.368
2029,0.377
2030,0.405
2031,0.411
2032,0.426
2033,0.421
2034,0.399
2035,0.394
2036,0.406
2037,0.398
2038,0.452
2039,0.439
2040,0.420
2041,0.464
2042,0.442
2043,0.444
2044,0.471
2045,0.421
2046,0.413
2047,0.426
2048,0.442
2049,0.425
2050,0.459
2051,0.473
2052,0.417
2053,0.396
2054,0.416
2055,0.474
2056,0.483
2057,0.478
2058,0.459
2059,0.480
2060,0.468
2061,0.478
2062,0.471
2063,0.495
2064,0.501
2065,0.516
2066,0.548
2067,0.494
2068,0.449
2069,0.484
2070,0.508
2071,0.546
2072,0.482
2073,0.470
2074,0.515
2075,0.505
2076,0.517
2077,0.511
2078,0.496
2079,0.487
2080,0.535
2081,0.536
2082,0.483
2083,0.517
2084,0.573
2085,0.544
2086,0.526
2087,0.588
2088,0.533
2089,0.532
2090,0.577
2091,0.594
2092,0.548
2093,0.544
2094,0.545
2095,0.541
2096,0.589
2097,0.596
2098,0.520
2099,0.566
